avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed,crime_count
69.4,73.4,64.4,13.2,23.9,1244
72.8,78.8,64.4,11.5,16.9,1467
74.4,78.8,66.2,10.5,15,1349
76.2,87.8,71.6,11,18.1,1382
74.6,77,73.4,9.7,15,1308
73.3,75.2,69.8,10,15,1418
75,80.6,71.6,10.8,15.9,1385
75.3,78.8,69.8,8.8,15,1420
79.1,84.2,71.6,10.2,15,1483
75.9,82.4,71.6,13.9,20,1410
75,80.6,69.8,9.5,14,1454
79.5,86,73.4,10.9,14,1427
74,84.2,68,12.8,15.9,1473
65.4,68,60.8,10.6,14,1581
70.7,80.6,60.8,7.2,13,1325
78,86,66.2,10.5,19,1367
73.4,80.6,69.8,13.5,15.9,1401
71,75.2,66.2,9.4,15,1308
75.6,82.4,66.2,10.5,15,1421
79.9,87.8,71.6,12.2,20,1570
79.5,84.2,75.2,13.3,15,1574
71.2,78.8,62.6,10.7,15,1321
69.3,78.8,57.2,13.1,20,1382
72.2,82.4,64.4,8,9.9,1374
75.3,84.2,66.2,9.6,14,1343
67.9,82.4,62.6,16.9,23.9,1274
61.1,64.4,57.2,15.5,20,1403
63.4,68,59,10.5,15,1501
65.2,69.8,59,7.5,9.9,1340
65.9,69.8,62.6,6.5,9.9,1247
65.1,68,62.6,9.1,15.9,1286
65.3,68,62.6,12.7,15,1289
67.2,75.2,57.2,10.7,20,1367
66.8,69.8,64.4,8,12,1500
69.2,75.2,59,7.1,9.9,1435
64.3,68,59,8.5,15,1266
53,57.2,50,14.8,20,1283
51.6,59,44.6,11.2,15,1310
59.8,68,53.6,12,15.9,1393
57.9,60.8,51.8,9.9,14,1450
55.5,57.2,55.4,13.7,20,1462
59.1,62.6,55.4,8.8,12,1383
61.3,66.2,53.6,6.1,8,1346
68.1,89.6,57.2,7.6,12,1707
72.5,82.4,59,7.2,13,1411
74,80.6,64.4,11.3,20,1495
59.5,69.8,53.6,6.5,11.1,1336
