avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed
64.3,68.0,59.0,8.5,15.0
53.0,57.2,50.0,14.8,20.0
51.6,59.0,44.6,11.2,15.0
59.8,68.0,53.6,12.0,15.9
57.9,60.8,51.8,9.9,14.0
55.5,57.2,55.4,13.7,20.0
59.1,62.6,55.4,8.8,12.0
61.3,66.2,53.6,6.1,8.0
68.1,89.6,57.2,7.6,12.0
72.5,82.4,59.0,7.2,13.0
74.0,80.6,64.4,11.3,20.0
59.5,69.8,53.6,6.5,11.1
51.5,53.6,50.0,6.8,9.9
47.9,50.0,39.2,8.3,15.0
46.6,53.6,39.2,5.7,6.0
56.7,66.2,48.2,8.3,9.9
64.3,71.6,55.4,10.2,12.0
64.3,68.0,62.6,11.9,15.0
60.4,66.2,55.4,5.4,9.9
57.3,59.0,53.6,7.5,9.9
61.3,68.0,51.8,7.4,12.0
56.1,60.8,51.8,7.2,15.0
52.1,59.0,46.4,8.9,12.0
49.8,51.8,46.4,10.7,15.9
47.6,51.8,39.2,7.3,9.9
56.0,64.4,46.4,8.5,9.9
57.2,60.8,51.8,6.2,9.9
60.2,69.8,48.2,5.8,9.9
60.0,64.4,57.2,5.3,8.0
57.8,59.0,55.4,4.9,6.0
63.4,66.2,59.0,6.4,8.0
59.2,64.4,51.8,7.2,12.0
42.2,51.8,39.2,21.1,29.9
41.3,42.8,39.2,16.3,25.1
42.1,44.6,39.2,9.6,15.0
45.7,53.6,37.4,9.7,12.0
51.1,59.0,46.4,12.1,20.0
50.9,51.8,50.0,9.9,12.0
59.0,68.0,51.8,11.0,15.0
62.7,68.0,59.0,15.2,20.0
63.9,66.2,59.0,9.3,15.0
58.6,66.2,48.2,8.4,9.9
55.5,62.6,50.0,8.0,9.9
50.8,55.4,46.4,8.7,15.0
52.6,62.6,44.6,7.0,9.9
57.8,68.0,50.0,6.9,9.9
53.4,64.4,44.6,11.2,15.0
47.0,53.6,39.2,11.2,16.9
52.6,60.8,42.8,13.5,20.0
47.6,50.0,46.4,12.0,20.0
50.1,57.2,41.0,7.6,9.9
54.9,64.4,50.0,10.8,12.0
57.8,62.6,51.8,9.6,12.0
60.8,68.0,55.4,7.8,9.9
56.4,66.2,50.0,7.8,9.9
51.3,55.4,48.2,7.3,9.9
57.8,64.4,51.8,8.2,15.0
50.4,62.6,46.4,10.8,15.0
40.6,44.6,35.6,8.7,12.0
47.5,55.4,39.2,9.9,12.0
49.2,53.6,42.8,10.6,15.0
52.9,59.0,50.0,12.0,15.0
57.2,62.6,53.6,18.4,25.1
48.5,60.8,44.6,19.9,25.1
47.6,50.0,44.6,12.7,15.0
46.5,53.6,39.2,14.7,21.0
40.1,44.6,37.4,8.7,14.0
45.4,46.4,42.8,14.5,20.0
46.5,48.2,44.6,14.4,15.9
41.9,44.6,39.2,14.2,20.0
45.1,53.6,37.4,9.9,18.1
51.6,59.0,46.4,11.5,25.1
58.9,62.6,55.4,11.6,14.0
62.5,68.0,59.0,15.1,29.9
51.0,64.4,42.8,13.3,25.1
45.2,48.2,42.8,12.5,20.0
45.3,46.4,44.6,11.5,15.9
39.2,42.8,30.2,10.9,18.1
42.5,50.0,33.8,10.5,14.0
43.5,48.2,35.6,8.1,12.0
45.6,48.2,42.8,9.8,12.0
44.7,46.4,39.2,10.1,12.0
39.2,41.0,35.6,10.3,15.0
39.1,42.8,35.6,9.5,12.0
43.9,46.4,41.0,11.8,15.0
45.7,46.4,42.8,10.9,15.0
41.3,48.2,33.8,9.4,13.0
39.3,46.4,33.8,13.1,20.0
37.3,42.8,32.0,10.3,15.0
37.1,41.0,32.0,9.4,13.0
43.9,48.2,39.2,16.5,20.0
32.3,50.0,24.8,17.0,20.0
22.7,26.6,21.2,16.0,20.0
19.5,24.8,15.8,10.8,15.0
16.2,17.6,14.0,13.8,15.9
24.5,28.4,19.4,14.3,15.9
26.0,28.4,23.0,14.4,20.0
19.0,23.0,14.0,14.3,16.9
15.4,19.4,8.6,13.4,20.0
17.0,23.0,10.4,14.5,16.9
22.3,28.4,15.8,8.1,13.0
28.0,33.8,23.0,7.5,11.1
25.5,32.0,19.4,9.7,15.0
29.0,41.0,21.2,14.0,20.0
34.8,39.2,30.2,11.3,15.0
34.5,35.6,33.8,14.9,25.1
27.3,33.8,19.4,12.4,20.0
33.7,44.6,24.8,14.5,18.1
46.3,55.4,41.0,13.4,19.0
45.4,51.8,41.0,10.2,15.0
40.2,44.6,35.6,12.6,15.9
39.1,42.8,35.6,12.4,18.1
37.1,41.0,28.4,11.0,15.0
39.0,42.8,35.6,11.6,15.0
34.0,35.6,30.2,12.4,15.9
32.3,35.6,24.8,10.5,15.0
26.0,35.6,17.6,12.5,18.1
20.8,24.8,17.6,10.7,14.0
23.5,30.2,17.6,8.9,12.0
31.7,37.4,26.6,12.9,18.1
33.8,37.4,32.0,13.7,19.0
44.3,55.4,35.6,14.7,20.0
46.9,50.0,39.2,13.6,21.0
38.1,41.0,33.8,13.0,15.9
41.3,51.8,30.2,13.7,18.1
45.2,53.6,35.6,13.6,16.9
50.8,59.0,41.0,13.9,22.0
43.8,50.0,37.4,11.8,15.9
36.6,39.2,33.8,13.5,15.0
34.0,37.4,32.0,13.9,22.9
33.2,33.8,32.0,17.3,25.1
32.0,35.6,28.4,13.2,20.0
28.6,35.6,19.4,11.7,16.9
33.3,37.4,26.6,13.5,18.1
23.4,32.0,15.8,12.1,20.0
25.7,33.8,17.6,12.9,18.1
33.1,39.2,26.6,9.4,15.9
36.2,44.6,26.6,11.5,15.0
38.3,44.6,33.8,13.0,15.0
41.3,50.0,35.6,8.0,12.0
39.3,42.8,35.6,12.6,22.0
32.8,35.6,24.8,12.8,20.0
39.7,42.8,35.6,18.3,25.1
31.7,39.2,24.8,10.5,14.0
37.8,44.6,32.0,15.4,25.1
40.7,42.8,39.2,15.6,22.0
40.3,41.0,39.2,13.0,20.0
35.4,41.0,30.2,10.6,14.0
39.5,50.0,32.0,14.1,20.0
44.5,46.4,42.8,12.8,15.9
46.6,53.6,39.2,15.0,22.0
34.8,39.2,32.0,14.0,20.0
32.4,35.6,26.6,10.4,15.0
38.5,46.4,30.2,11.4,20.0
49.8,60.8,39.2,14.7,19.0
41.4,53.6,35.6,15.3,20.0
29.4,35.6,24.8,13.1,16.9
24.0,26.6,19.4,12.7,15.9
27.1,32.0,17.6,13.6,25.1
29.7,32.0,26.6,11.4,15.0
34.4,35.6,32.0,11.1,16.9
19.3,33.8,12.2,14.1,20.0
8.5,15.8,-0.4,14.0,20.0
24.4,33.8,17.6,9.5,13.0
37.5,46.4,32.0,9.1,15.0
35.3,37.4,33.8,11.0,15.9
51.4,62.6,35.6,13.6,18.1
45.8,64.4,28.4,22.1,29.9
24.7,30.2,17.6,19.8,29.9
36.7,44.6,26.6,13.2,20.0
41.1,44.6,33.8,7.6,12.0
47.5,59.0,39.2,10.6,15.9
44.4,53.6,39.2,10.4,20.0
43.6,57.2,39.2,13.3,18.1
36.3,37.4,33.8,18.5,25.1
36.9,39.2,35.6,13.5,20.0
39.3,41.0,37.4,7.4,11.1
39.5,42.8,35.6,6.4,9.9
39.4,41.0,37.4,10.6,15.9
28.6,37.4,23.0,12.7,16.9
26.6,37.4,17.6,15.9,20.0
41.4,51.8,28.4,15.4,20.0
37.0,39.2,33.8,16.1,26.0
28.5,32.0,24.8,22.1,26.0
32.4,35.6,28.4,17.3,20.0
37.9,41.0,30.2,9.5,14.0
41.7,48.2,35.6,12.7,20.0
43.0,46.4,39.2,7.8,12.0
46.5,51.8,39.2,13.0,20.0
44.5,48.2,39.2,11.5,19.0
37.8,42.8,32.0,8.7,13.0
40.3,46.4,33.8,11.2,15.0
37.1,39.2,33.8,9.0,18.1
34.0,39.2,32.0,9.9,20.0
36.5,41.0,32.0,9.8,15.0
37.4,41.0,32.0,9.7,15.0
39.7,44.6,37.4,12.0,16.9
45.8,50.0,44.6,5.4,9.9
42.7,46.4,41.0,11.1,20.0
49.0,62.6,39.2,9.3,14.0
62.9,73.4,50.0,13.7,19.0
58.2,69.8,44.6,11.0,15.0
45.5,48.2,42.8,9.6,14.0
58.9,75.2,41.0,8.9,14.0
75.8,86.0,66.2,13.8,20.0
77.6,86.0,68.0,14.7,20.0
76.4,84.2,66.2,12.0,20.0
74.7,86.0,57.2,12.5,21.0
59.9,82.4,48.2,14.1,20.0
43.6,46.4,42.8,17.5,26.0
42.3,42.8,41.0,16.9,25.1
40.3,42.8,39.2,10.7,15.9
45.1,51.8,39.2,9.3,13.0
60.6,71.6,46.4,12.9,20.0
50.7,60.8,41.0,16.8,22.9
44.6,51.8,41.0,11.9,15.0
45.6,48.2,42.8,14.8,21.0
46.9,55.4,42.8,16.0,23.9
49.6,60.8,42.8,12.6,16.9
55.0,60.8,50.0,8.1,14.0
51.2,53.6,48.2,9.4,20.0
50.0,53.6,46.4,14.1,21.0
46.4,51.8,44.6,11.7,14.0
53.5,60.8,42.8,8.5,12.0
50.0,55.4,46.4,9.1,14.0
63.8,75.2,51.8,9.1,15.9
52.4,71.6,46.4,14.4,20.0
51.0,55.4,44.6,9.6,12.0
57.7,60.8,53.6,15.3,22.9
57.8,66.2,48.2,11.8,15.9
50.4,55.4,46.4,11.8,20.0
48.2,51.8,46.4,12.3,18.1
49.1,55.4,44.6,15.1,20.0
54.9,60.8,48.2,7.5,14.0
